штайнмайер,москва,negative
крым,путин,negative
германия,крым,positive
германия,запад,positive
германия,путин,positive
зоммер,крым,positive
зоммер,запад,positive
зоммер,путин,positive
запад,крым,positive
запад,путин,positive
путин,крым,negative
путин,зоммер,positive
хрущев,крым украинский советский республика,negative
курский губерния,крым украинский советский республика,negative
германия,калининградский область,positive
германия,восточный пруссия,negative
калининградский область,восточный пруссия,negative
крым,владимир путин,negative
россия,путин,negative
крым,оон,negative
крым,хельсинкский заключительный акт,negative
москва,штайнмайер,negative
россия,владимир путин,negative
путин,россия,negative
путин,владимир путин,negative
владимир путин,крым,negative
владимир путин,россия,negative
владимир путин,путин,negative
оон,крым,negative
хельсинкский заключительный акт,крым,negative
