европа,британия,positive
европа,путин,positive
британия,путин,positive
британия,владимир путин,positive
россия,владимир путин,positive
россия,путин,positive
brexit,владимир путин,positive
brexit,путин,positive
путин,ес,positive
великобритания,путин,positive
великобритания,абу бакр аль-багдади,positive
дэвид кэмерон,абу бакр аль-багдади,positive
евросоюз,абу бакр аль-багдади,positive
путин,абу бакр аль-багдади,positive
кэмерон,абу бакр аль-багдади,positive
россия,ес,positive
великобритания,ес,positive
сша,путин,positive
путин,ссср,negative
путин,варшавский договор,negative
ес,европа,negative
великобритания,россия,negative
великобритания,европа,negative
путин,великобритания,positive
путин,ес положительный последствие,positive
ес,ужин,positive
великобритания,хаммонд,positive
великобритания,ес политика антироссийский санкция,positive
великобритания,ужин,positive
хаммонд,ужин,positive
политический истеблишмент,ес,positive
политический истеблишмент,хаммонд,positive
политический истеблишмент,ес политика антироссийский санкция,positive
политический истеблишмент,ужин,positive
ес политика антироссийский санкция,ужин,positive
путин,германия,positive
германия,путин,positive
германия,кэмерон,positive
германия,меркель,positive
ангел меркель,германия,positive
кэмерон,германия,positive
меркель,германия,positive
великобритания,украина,positive
россия,центральный банк,negative
россия,рф,negative
косачев,центральный банк,negative
косачев,рф,negative
путин,сша,positive
путин,европа,positive
европа,сша,positive
британия,сша,positive
британия,европа,positive
захарова,соединенный штат,positive
евросоюз,соединенный штат,positive
ес,путин,positive
ес,brexit,positive
ес,великобритания,positive
сша,европа,positive
европа,украина,positive
европа,грузия,positive
brexit,европа,positive
brexit,великобритания,positive
brexit,украина,positive
brexit,грузия,positive
путин,украина,positive
путин,грузия,positive
великобритания,грузия,positive
путин,brexit,positive
путин,brexit путин,positive
brexit,brexit путин,positive
brexit путин,путин,positive
brexit путин,brexit,positive
ссср,путин,negative
варшавский договор,путин,negative
сша,британия,positive
сша,ес,negative
украина,путин,positive
грузия,путин,positive
