венеция,константинополь,negative
россия,путин,negative
россия,украина,negative
россия,азербайджан,negative
россия,армения,negative
россия,запад,negative
путин,грузия,negative
путин,крым,negative
путин,украина,negative
путин,азербайджан,negative
путин,армения,negative
путин,запад,negative
грузия,украина,negative
грузия,азербайджан,negative
грузия,армения,negative
грузия,запад,negative
крым,украина,negative
крым,азербайджан,negative
крым,армения,negative
крым,запад,negative
украина,армения,negative
азербайджан,азербайджан,positive
армения,азербайджан,positive
армения,запад,positive
путин,сирия,positive
путин,америка,positive
путин,евросоюз,positive
путин,башар аль-асад,positive
россия,балтийский море,negative
сша,балтийский море,negative
нато,балтийский море,negative
совет,балтийский море,negative
нато-россия,балтийский море,negative
путин,вмс,negative
разведка путин,россия,positive
путин,путин,negative
