франк-вальтер штайнмайер,штайнмайер,positive
нато,европа,negative
дмитрий тренин,кремль,positive
дмитрий тренин,карнеги-центр,positive
тренин,кремль,positive
тренин,карнеги-центр,positive
эстония,нато,negative
эстония,кремль,positive
эстония,путин,negative
латвия,нато,negative
латвия,кремль,positive
латвия,путин,negative
литва,нато,negative
литва,кремль,positive
литва,путин,negative
польша,нато,negative
польша,кремль,positive
польша,путин,negative
кремль,нато,negative
кремль,путин,negative
тренин,россия,negative
черногория,европа,negative
эштон картер (ashton carter,европа,negative
крым,нато,negative
крым,россия,negative
крым,совет,negative
крым,нато-россия,negative
крым,путин,positive
запад,путин,positive
запад,крым,positive
хрущев,украинский советский,negative
хрущев,республика,negative
путин,севастополь,negative
путин,соединять штат,negative
севастополь,нато,positive
севастополь,украина,positive
соединять штат,нато,positive
соединять штат,украина,positive
путин,крым,positive
штайнмайер,франк-вальтер штайнмайер,positive
