lemma,A1,A2,A3,A4,A1&A2,State,Polarity,Effect
cтрадать,(NOUN Case=Nom),(NOUN Case=Gen) (NOUN Case=Gen),,,,"(A1, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)', '(author, A1, pos, 1)', '(author, A2, neg, 1)']","(A1, -, 1)"
адаптация,(NOUN Case=Gen)  (PRON Poss=Yes/ADJ),(NOUN Case=Dat),,,,"(A1, pos, 0.7)","(A1, A2, pos, 0.7)","['(A2, +, 1)', '(A1, +, 1)']"
адаптироваться,(NOUN Case=Nom),(NOUN Case=Dat),,,,"(A1, pos, 0.7)","(A1, A2, pos, 0.7)","['(A2, +, 1)', '(A1, +, 1)']"
аплодировать,(NOUN Case=Nom),(NOUN Case=Dat),(NOUN Case=Acc),,,"['(A1, pos, 1)', '(A2, pos, 1)']","['(A1, A2, pos, 1)', '(A1, A3, pos, 1)', '(A2, A1, pos, 1)']","(A2, +, 1)"
арест,(NOUN Case=Ins),(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Acc),,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A1, A3, neg, 1)', '(A2, A1, neg, 1)', '(author, A2, neg, 0.7) -убрать', '(author, A3, neg, 0.7)- убрать']","(A2, -, 1)"
арестовать,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Acc),,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)', '(A1, A3, neg, 1)']","(A2, -, 1)"
арестовывать,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Acc),,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)', '(A1, A3, neg, 1)']","(A2, -, 1)"
атака,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Acc),,,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)']","(A2, -, 1)"
бастовать,(NOUN Case=Nom),(NOUN Case=Gen),,,,,"(A1, A2, neg, 1)","(A2, -, 1)"
бездействие,(NOUN Case=Gen) (PRON Poss=Yes/ADJ) ,(NOUN по отношению Case=Dat) (NOUN в Case=Gen) ,,,,,"['(A1, A2, neg, 1) ', '(author, A1, neg, 1) ']","(A2, -, 1) "
бездействовать,(NOUN Case=Nom) ,(NOUN по отношению Case=Dat) (NOUN в Case=Gen) ,,,,,"['(A1, A2, neg, 1) ', '(author, A1, neg, 1) ']","(A2, -, 1) "
бесить,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Ins),,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)', '(A2, A3, neg, 1)', '(author, A2, neg, 0.7)']","(A2, -, 1)"
беситься,(NOUN Case=Nom),(NOUN Case=Gen) (NOUN Case=Gen) (NOUN Case=Gen) (Что+Clause),,,,"(A1, neg, 1)","['(A1, A2, neg, 1)', '(author, A1, neg, 0.7)']","(A1, -, 1)"
беспечность,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Loc),,,,,"['(A1, A2, neg, 0.7)', '(author, A1, neg, 1)', '(author, A2, pos, 0.7)']","(A2, -, 1)"
беспокоить,(N Noun),(NOUN Case=Acc),(Что+Clause),,,"(A1, neg, 0.7)","['(A1, A2, pos, 0.7)', '(A1, A3, neg, 0.7)']","(A2, -, 0.7)"
беспокоиться,(NOUN Case=Nom) ,(NOUN Case=Acc) ,(N Case=Loc) (NOUN Case=Gen) (Что+Clause) ,,,"(A1, neg, 1) ","['(A1, A2, pos, 1) ', '(A1, A3, neg, 0.7) ']","['(A1, -, 1) ', '(A2, -, 1) ']"
беспокойность,(NOUN Case=Gen) (PRON Poss=Yes/ADJ) ,(NOUN Case=Gen) (NOUN Case=Gen) ,,,,"(A1, neg, 1) ","(A1, A2, neg, 0.7) ","(A1, -, 1) "
беспокойство,(NOUN Case=Gen) (PRON Poss=Yes/ADJ) ,(NOUN Case=Acc) ,(N Case=Loc) (NOUN Case=Gen) (NOUN Case=Gen) ,,,"(A1, neg, 1) ","['(A1, A2, pos, 1) ', '(A1, A3, neg, 0.7) ']","['(A1, -, 1) ', '(A2, -, 1) ']"
бешенство,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Gen) (NOUN Case=Gen) (NOUN Case=Gen),,,,"(A1, neg, 1)","['(A1, A2, neg, 1)', '(author, A1, neg, 0.7)']",
благодарность,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Dat),(NOUN Case=Acc),,,"['(A1, pos, 1)', '(A2, pos, 0.7)']","['(A1, A2, pos, 1)', '(A1, A3, pos, 1)', '(A2, A1, pos, 0.7)', '(A2, A3, pos, 0.7)']","(A3, +, 0.7)"
благополучие,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),,,,,"(A1, pos, 1)",,
благосостояние,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),,,,,"(A1, pos, 1)","(author, A1, pos, 0.7)",
блокада,(NOUN Case=Gen) (PRON Poss=Yes/ADJ) (NOUN Case=Ins),(NOUN Case=Gen) (PRON Poss=Yes/ADJ),,,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)', '(author, A1, neg, 0.7)', '(author, A2, pos, 0.7)']","(A2, -, 1)"
болеть,(NOUN Case=Nom),(NOUN Case=Gen) ,,,,"(A2, neg, 1)",,
бомбардировка,(NOUN Case=Gen) (PRON Poss=Yes/ADJ) (NOUN Case=Ins),(NOUN Case=Gen) (PRON Poss=Yes Person=3),,,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)', '(author, A1, neg, 0.7)', '(author, A2, pos, 0.7)']","(A2, -, 1)"
бомбежка,(NOUN Case=Ins),(NOUN Case=Gen) (PRON Poss=Yes/ADJ),,,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)']","(A2, -, 1)"
бомбить,(NOUN Case=Nom),(NOUN Case=Acc),,,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)']","(A2, -, 1)"
бороться,"['(NOUN Case=Nom)', 'A2: (NOUN Case=Nom и NOUN Case=Nom) (NOUN Case=Nom Plural)']",(NOUN Case=Ins),(NOUN Case=Case=Acc),,,"['(A1, neg, 0.7)', '(A2, neg, 0.7)']","['(A1, A2, neg, 1)', '(A1, A3, pos, 1)', '(A2, A1, neg, 1)', '(A2, A3, pos, 1)']","['(A1, -, 0.7)', '(A2, -, 0.7)']"
борьба,"['(NOUN Case=Gen) (PRON Poss=Yes/ADJ)', 'A2: (NOUN Case=Gen и Case=Gen) (NOUN Case=Gen и NOUN Case=Gen)']",(NOUN Case=Ins),(NOUN Case=Acc),,,"['(A1, neg, 0.7)', '(A2, neg, 0.7)']","['(A1, A2, neg, 1)', '(A1, A3, pos, 1)', '(A2, A1, neg, 1)', '(A2, A3, pos, 1)']","['(A1, -, 0.7)', '(A2, -, 0.7)']"
боязнь,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Gen) (NOUN Case=Ins) (NOUN Case=Gen) (Что+Clause) (VERB VerbForm=Inf),(NOUN Case=Acc),,,"(A1, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 0.7)', '(A1, A3, pos, 1)']",
бояться,(NOUN Case=Nom),(NOUN Case=Acc) (NOUN Case=Gen) (Что+Clause),(NOUN Case=Acc),,,"(A1, neg, 1)","['(A1, A2, neg, 1)', '(A1, A3, pos, 1) ', '(A2, A1, neg, 0.7)']",
бунт,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Gen),,,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A2, A1, neg, 1)', '(author, A1, neg, 0.7)']","(A2, -, 1)"
бунтарь,(NOUN Case=Gen),,,,,"(A1, neg, 1)","['(A0, A1, neg, 1)', '(A1, A0, neg, 1)', '(author, A0, pos, 0.7)']","(A1, -, 1)"
бунтовщик,(NOUN Case=Gen),,,,,"(A1, neg, 1)","['(A0, A1, neg, 1)', '(A1, A0, neg, 1)', '(author, A0, neg, 0.7)']","(A1, -, 1)"
бунтовщица,(NOUN Case=Gen),,,,,"(A1, neg, 1)","['(A0, A1, neg, 1)', '(A1, A0, neg, 1)', '(author, A0, neg, 0.7)']","(A1, -, 1)"
ввергать,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Acc),,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A1, A3, neg, 0.7)', '(A2, A1, neg, 0.7)', '(A2, A3, neg, 1)', '(author, A1, neg, 1)', '(author, A2, pos, 0.7)', '(author, A3, neg, 1)']","['(A2, -, 1)', '(A3, +, 1)']"
ввергнуть,(NOUN Case=Nom),(NOUN Case=Acc),(NOUN Case=Acc),,,"(A2, neg, 1)","['(A1, A2, neg, 1)', '(A1, A3, neg, 0.7)', '(A2, A1, neg, 0.7)', '(A2, A3, neg, 1)', '(author, A1, neg, 1)', '(author, A2, pos, 0.7)', '(author, A3, neg, 1)']","['(A2, -, 1)', '(A3, +, 1)']"
вдохновение,(NOUN Case=Gen) (PRON Poss=Yes/ADJ),(NOUN Case=Gen) (NOUN Case=Gen) (NOUN Case=Gen),,,,"(A1, pos, 1)","(A1, A2, pos, 1)","(A1, +, 1)"
